property_id,summary,locality,postal,address,region,country,price,sale_type,property_type,sub_property_type,number_of_bedrooms,living_area,kitchen,attic,basement,furnished,open_fire,terrace,terrace_area,terrace_orientation,garden,garden_area,garden_orientation,number_of_facades,construction_year,swimming_pool,state_of_building,epc,kwh
10000099,"Located in a haven of peace with a breathtaking view of the surrounding countryside, we offer this charming farmhouse of 1850 renovated in 2013 .",BALÂTRE,5190,,Wallonie,Belgium,,FOR_SALE,HOUSE,COUNTRY_COTTAGE,4,214,"{'surface': None, 'type': 'USA_INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",True,True,,True,,,,,,,4,1850,,JUST_RENOVATED,0,409
10000326,"Sorry, there is no English translation. - VENDU - Magnifique et spacieuse villa 4 façades de 539 m² habitables et utiles, construite en 2008 sur une parcelle de 13 ares 85 centiares dans une rue sans issue du village de Werpin (Hotton) et comprenant: rez-de-chaussée: hall d'entrée, vaste garage avec porte électrique, chaufferie, caves carrelées sur toute la superficie, grand atelier. Rez-de-jardin: hall avec WC indépendant, grand séjour de 51 m² (possibilité d'acquérir le poêle à pellets) donnant sur une belle terrasse offrant une superbe vue dégagée, cuisine super équipée, arrière cuisine, grand bureau de 22 m² pouvant servir de chambre, hall de nuit, belle salle de douche avec WC, chambre et dressing. Le premier étage est non aménagé et est desservi par un escalier escamotable, le gîtage a été prévu pour pouvoir être retiré facilement afin d'installer un escalier et rendre les 4 vastes greniers habitables. Toiture en ardoises naturelles, chauffage central au mazout, châssis PVC double vitrages, station d'épuration, citerne d'eau de pluie de 5.000 L + groupe hydrophore, installation électrique conforme jusqu'en 2046... Etat impeccable ! Tout a été bien pensé dans cette magnifique demeure. Opportunité rare ! Faire offre à partir de 399.000 €. Plus d'informations et visites au 0475/52.95.54 ou anthony@bg-immo.be.",WERPIN,6990,,Wallonie,Belgium,,FOR_SALE,HOUSE,HOUSE,3,539,"{'surface': None, 'type': 'INSTALLED', 'hasOven': None, 'hasMicroWaveOven': None, 'hasDishwasher': None, 'hasWashingMachine': None, 'hasFridge': None, 'hasFreezer': None, 'hasSteamOven': None}",True,True,,False,True,27,,True,1385,SOUTH_EAST,4,2008,,GOOD,0,147
10000377,"Nieuwbouwwoning ruwbouw winddicht inclusief alle kosten dwz ruwbouw, dak incl 10 zonnepanelen, ramen PVC, met S-peil lager dan 30, architect, veiligheidscoordinator, energiedeskundige en de andere kosten. Telefonisch contact 0499 / 68 68 01.
Luvatri BVBA is actief in aannemingswerken. Voor zover sprake van vastgoedbemiddeling, wordt een beroep gedaan op BIV-makelaar.

Renovation obligation: unknown",Haacht,3150,,Flanders,Belgium,401766,FOR_SALE,HOUSE,HOUSE,3,160,,,,,False,,,,,,,,,,,0,
10000390,"To be renovated villa, situated in a residential area in the beautiful Wenduine within walking distance of the centre and the Duinbossen. This charming house is accessible via a green driveway and has a plot size of 11a 50ca. The villa comprises on the ground floor a spacious entrance hall with guest toilet, living room with dining area, separate kitchen, bathroom with toilet, a bedroom and a garage with sectional door. Furthermore, there are 2 bedrooms on the first floor. You can enjoy the sun and nature in all privacy in the garden. Interested? Do not hesitate and contact Anthony van Wijk for more information at 059 23 33 23 or via anthony@immo-belgium.be.

Renovation obligation: unknown",Wenduine,8420,Duinenlaan,Flanders,Belgium,,FOR_SALE,HOUSE,VILLA,3,219,,,,,False,,,,,,,,1990,,TO_RENOVATE,0,
10000520,"Beautiful new construction twin villa in the allotment ""Zoute Schorre"".

Layout:
Entrance hall with guest toilet and checkroom. Large living room with access to the east facing garden, dining area and kitchen with adjacent practical storage room.
Second floor: landing with separate toilet, 3 luxury bedrooms each with bath and/or shower room and terrace.
Second floor: large attic that can be converted into additional bedroom.

Large underground garage with storage room and parking for approximately 3 cars.

Renovation obligation: unknown",Knokke,8300,Jan Devischstraat,Flanders,Belgium,1220000,FOR_SALE,HOUSE,HOUSE,3,328,,,,,False,,,,,,,,,,,0,0
10000523,"Beautiful new construction corner villa with perfect orientation in the allotment ""Zoute Schorre"".

Layout:
Entrance hall with guest toilet and checkroom. Large living room with access to the west facing garden, dining area and kitchen with adjacent practical storage room.
Second floor: landing with separate toilet, 3 luxurious bedrooms each with bath and/or shower room and terrace.
Second floor: large attic which can be converted into an extra bedroom.

Large underground garage with storage room and parking for approximately 3 cars.

Renovation obligation: unknown",Knokke,8300,Jan Devischstraat,Flanders,Belgium,1500000,FOR_SALE,HOUSE,HOUSE,3,403,,,,,False,,,,,,,,2024,,,0,0
10000525,"Beautiful new construction villa with perfect orientation in the allotment ""Zoute Schorre"".

Layout:
Entrance hall with guest toilet and checkroom. Large living room with access to the west facing garden, dining area and kitchen with adjacent practical storage room.
Second floor: landing with separate toilet, 3 luxurious bedrooms each with bath and/or shower room and terrace.
Second floor: large attic which can be converted into an extra bedroom.
Large underground garage with storage room and parking for approximately 3 cars. 

A visit to the site and insight into the construction plans is possible.

Renovation obligation: unknown",Knokke,8300,Jan Devischstraat,Flanders,Belgium,,FOR_SALE,HOUSE,HOUSE,3,304,,,,,False,,,,,,,,2021,,GOOD,0,0
10000537,"Beautiful new construction villa with perfect orientation in the allotment ""Zoute Schorre"".

Layout:
Entrance hall with guest toilet and checkroom. Large living room with access to the northeast facing garden, dining area and kitchen with adjacent practical storage room.
Second floor: landing with separate toilet, 3 luxurious bedrooms each with bath and/or shower room and terrace.
Second floor: large attic which can be converted into an extra bedroom.

Large underground garage with storage room and parking for approximately 3 cars.

Renovation obligation: unknown",Knokke,8300,Jan Devischstraat,Flanders,Belgium,,FOR_SALE,HOUSE,HOUSE,3,378,,,,,False,,,,,,,,,,,0,0
10000543,"Magnifiek gemeubeld nieuwbouw appartement op een boogscheut van het Albertstrand en het Rubensplein met zijdelings zeezicht. De grote raampartijen bieden veel lichtinval en geven een open en ruimtelijk gevoel met een aansluitend zuidgericht terras.

Indeling:
De inkomhal met vestiaire en gastentoilet geeft toegang tot de leefruimte die bestaat uit een moderne open keuken, een eethoek die uitgeeft op het terras en een zitgedeelte met gashaard. De eerste slaapkamer en master bedroom beschikt over een badkamer met inloopdouche, lavabo en toilet. de twee andere slaapkamers bieden ieder een badkamer met douche en lavabo. Iedere slaapkamer is tevens voorzien van ingemaakte kasten. Kelderruimte met wasplaats.

Mogelijkheid tot aankoop van een autostaanplaats in de directe omgeving.

Renovation obligation: unknown",Knokke,8300,Sylvain Dupuisstraat,Flanders,Belgium,,FOR_SALE,APARTMENT,APARTMENT,3,141,,,True,,False,True,,,,,,,1957,,AS_NEW,0,0
10000552,"Exclusief bij Agence Pallen: Prachtig gerenoveerd 3-slaapkamer appartement met frontaal zeezicht op de zeedijk in het Zoute, gelegen in een voorname residentie aan het Albertplein. Het appartement werd tot in de puntjes afgewerkt met de mooiste materialen. 

Indeling van het appartement:
Inkomhal met vestiaire en gastentoilet. Ruime woonkamer bestaande uit luxueuze en volledig geïnstalleerde open keuken, eethoek en salon met haard uitgevend op een terras. Vanuit de woonkamer geniet u van een frontaal zeezicht. Nachthal met 2de apart toilet. Slaapkamer 1 met aansluitende badkamer (dubbele lavabo, inloopdouche en bad). Slaapkamer 2 met aansluitende douchekamer (lavabo en inloopdouche). Voormelde slaapkamers geven beiden uit op een terras achteraan. Slaapkamer 3 voorzien van uitklapbaar bed, douche en lavabo. Alle slaapkamers zijn voorzien van ingemaakte kasten. Er is eveneens airco voorzien voor optimaal comfort tijdens de zomermaanden. Privatieve kelder en gemeenschappelijke fietsenberging in de ondergrond van de residentie. Conciërge aanwezig. Mogelijkheid tot aankoop van een autostaanplaats in een nabijgelegen residentie.  

Renovation obligation: unknown",Knokke,8300,Albertplein,Flanders,Belgium,,FOR_SALE,APARTMENT,APARTMENT,3,129,,,True,,False,True,,,,,,,1962,,GOOD,0,96
